set	t_s	kind	node	sensor	note	ch	vel_emitted	dt_ms
ff	24.363733053207397	ON	2	7	G4(67)	3	115	3.3
ff	24.363735914230347	OFF	1	9	D2(38)	3	96	28.3
ff	24.363739013671875	OFF	1	14	G2(43)	3	81	54.9
ff	24.363740921020508	OFF	1	16	A2(45)	3	76	73.3
ff	24.36374306678772	OFF	1	19	C3(48)	3	77	69.9
ff	24.41794991493225	OFF	2	7	G4(67)	3	111	11.6
ff	24.417958974838257	OFF	1	21	D3(50)	3	101	21.6
ff	24.522639989852905	OFF	2	4	E4(64)	3	91	34.9
ff	24.52265191078186	ON	1	23	E3(52)	3	115	3.3
ff	24.522655963897705	OFF	2	2	D4(62)	3	86	43.3
ff	24.52265977859497	ON	1	18	B2(47)	3	115	4.9
ff	24.5226628780365	OFF	2	5	F4(65)	3	93	31.6
ff	24.522667169570923	OFF	2	8	G#4(68)	3	81	54.9
ff	24.52267098426819	ON	1	17	A#2(46)	3	115	4.9
ff	24.522674083709717	ON	1	16	A2(45)	3	115	4.9
ff	24.52267599105835	ON	1	19	C3(48)	3	115	1.6
ff	24.5226788520813	ON	1	24	F3(53)	3	114	8.3
ff	24.52268099784851	ON	1	14	G2(43)	3	111	11.6
ff	24.52268385887146	OFF	2	10	A#4(70)	3	96	28.3
ff	24.572998046875	OFF	2	12	C5(72)	3	83	49.9
ff	24.573009967803955	ON	2	6	F#4(66)	3	115	3.3
ff	24.62654185295105	ON	2	2	D4(62)	3	104	18.3
ff	24.62654972076416	ON	2	4	E4(64)	3	112	9.9
ff	24.62655282020569	OFF	1	14	G2(43)	3	82	53.3
ff	24.626555919647217	OFF	1	19	C3(48)	3	109	13.3
ff	24.62656807899475	ON	2	8	G#4(68)	3	115	3.3
ff	24.62657070159912	ON	2	5	F4(65)	3	114	8.3
ff	24.626572847366333	ON	2	7	G4(67)	3	115	3.3
ff	24.626577854156494	ON	2	10	A#4(70)	3	115	3.3
ff	24.626580953598022	OFF	1	16	A2(45)	3	101	21.6
ff	24.626582860946655	ON	2	9	A4(69)	3	115	4.9
ff	24.62658381462097	OFF	1	18	B2(47)	3	93	31.6
ff	24.62676477432251	OFF	1	17	A#2(46)	3	103	19.9
ff	24.626767873764038	OFF	1	23	E3(52)	3	111	11.6
ff	24.62677001953125	ON	2	11	B4(71)	3	115	6.6
ff	24.67794179916382	OFF	1	24	F3(53)	3	75	83.3
