Designator,Mid X,Mid Y,Rotation,Layer
U1301,130.5464,-10.23,270.0,top
U1401,109.6664,-2.4,0.0,top
U1501,122.9997,-2.4,0.0,top
U1601,136.333,-2.4,0.0,top
U1701,149.6663,-2.4,0.0,top
U1801,178.56,-10.23,270.0,top
U1901,162.999599,-2.4,0.0,top
U2001,176.332899,-2.4,0.0,top
U2101,189.666199,-2.4,0.0,top
U2201,202.999499,-2.4,0.0,top
U2301,230.4608,-10.690001,270.0,top
U2401,216.3328,-2.4,0.0,top
U2501,229.6661,-2.4,0.0,top
U2601,242.9994,-2.4,0.0,top
U2701,256.3327,-2.4,0.0,top
U2801,290.546,-10.23,270.0,top
U2901,269.666,-2.4,0.0,top
U3001,282.9993,-2.4,0.0,top
U301,3.0,-2.4,0.0,top
U3101,296.3326,-2.4,0.0,top
U3201,309.6659,-2.4,0.0,top
U3301,343.879199,-10.23,270.0,top
U3401,322.999199,-2.4,0.0,top
U3501,336.332499,-2.4,0.0,top
U3601,349.665799,-2.4,0.0,top
U3701,362.999099,-2.4,0.0,top
U3801,363.25,-13.025,180.0,top
U4,5.025,-19.435928,180.0,top
U401,23.88,-10.23,270.0,top
U4301,376.3324,-2.4,0.0,top
U4401,389.665699,-2.4,0.0,top
U4501,402.998999,-2.4,0.0,top
U5,158.525,-18.925,270.0,top
U501,16.3333,-2.4,0.0,top
U6,13.1,-17.45,0.0,top
U601,29.6666,-2.4,0.0,top
U701,42.9999,-2.4,0.0,top
U801,77.2132,-10.23,270.0,top
U901,56.3332,-2.4,0.0,top
Y1,188.1,-14.1,270.0,top
